record_id,event_id,editions,year,area,kind,parent_id,source_id,title,authors,answer,content_status,content_format,solution_status,solution_reference_record_id,has_question,has_solution,has_hints,asset_count,question_chars,solution_chars,source_url,raw_path,markdown_path
ccbc2:meta,ccbc2,CCBC 2,2009,航海日记,final_meta,,meta,航海日记 Meta,,,incomplete_official,text_missing_inputs,available,,True,True,False,0,7233,1047,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_meta.md
ccbc2:puzzle-01,ccbc2,CCBC 2,2009,航海日记,puzzle,,puzzle-01,海盗・咒语,,KISMET,available,text,available,,True,True,False,0,1669,103,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_puzzle-01.md
ccbc2:puzzle-02,ccbc2,CCBC 2,2009,航海日记,puzzle,,puzzle-02,海盗・纸牌,,JACK SPARROW,incomplete_official,text_missing_media,available,,True,True,False,0,337,451,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_puzzle-02.md
ccbc2:puzzle-03,ccbc2,CCBC 2,2009,航海日记,puzzle,,puzzle-03,海盗・岛屿,,,incomplete_official,text_missing_media,missing_official,,True,False,False,0,426,0,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_puzzle-03.md
ccbc2:puzzle-04,ccbc2,CCBC 2,2009,航海日记,puzzle,,puzzle-04,海盗・海图,,MAELSTROM,available,text,available,,True,True,False,0,878,598,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_puzzle-04.md
ccbc2:puzzle-05,ccbc2,CCBC 2,2009,航海日记,puzzle,,puzzle-05,海盗・折纸,,SAIL,incomplete_official,text_missing_media,available,,True,True,False,0,447,237,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_puzzle-05.md
ccbc2:puzzle-06,ccbc2,CCBC 2,2009,航海日记,puzzle,,puzzle-06,海盗・星图,,,incomplete_official,text_missing_media,missing_official,,True,False,False,0,758,0,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_puzzle-06.md
ccbc2:puzzle-07,ccbc2,CCBC 2,2009,航海日记,puzzle,,puzzle-07,海盗・暴风雨,,THUNDERSTORM,available,text,available,,True,True,False,0,507,431,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_puzzle-07.md
ccbc2:puzzle-08,ccbc2,CCBC 2,2009,航海日记,puzzle,,puzzle-08,海盗・钱币,,PLUNDER,incomplete_official,text_missing_media,available,,True,True,False,0,586,714,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_puzzle-08.md
ccbc2:puzzle-09,ccbc2,CCBC 2,2009,航海日记,puzzle,,puzzle-09,海盗・诅咒,,AZTEC CURSE,incomplete_official,text_missing_media,available,,True,True,False,0,349,179,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_puzzle-09.md
ccbc2:puzzle-10,ccbc2,CCBC 2,2009,航海日记,puzzle,,puzzle-10,海盗・时区,,INTL DATE LINE,missing_official,missing,available_without_question,,False,True,False,0,0,545,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_puzzle-10.md
ccbc2:puzzle-11,ccbc2,CCBC 2,2009,航海日记,puzzle,,puzzle-11,海盗・乐谱,,,incomplete_official,text_missing_media,missing_official,,True,False,False,0,346,0,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_puzzle-11.md
ccbc2:puzzle-12,ccbc2,CCBC 2,2009,航海日记,puzzle,,puzzle-12,海盗・棋盘,,RAPIER,incomplete_official,text_missing_media,available,,True,True,False,0,535,196,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_puzzle-12.md
ccbc2:puzzle-13,ccbc2,CCBC 2,2009,航海日记,puzzle,,puzzle-13,海盗・建筑,,ASTROLABE,incomplete_official,text_missing_media,available,,True,True,False,0,373,314,https://tieba.baidu.com/p/619770728?see_lz=1,data/raw/ccbc-history/tieba/619770728/all/page-1.pb,data/processed/markdown/ccbc2/ccbc2_puzzle-13.md
ccbc3:round32-01,ccbc3,CCBC 3,2010,32强,puzzle,,round32-01,纵横,,Grand Union Flag,available,text,answer_only,,True,False,False,0,79,0,https://tieba.baidu.com/p/853440395?see_lz=1,data/raw/ccbc-history/tieba/853440395/all/page-1.pb,data/processed/markdown/ccbc3/ccbc3_round32-01.md
ccbc3:round32-02,ccbc3,CCBC 3,2010,32强,puzzle,,round32-02,五行,,Slovenia,available,text,answer_only,,True,False,False,0,16,0,https://tieba.baidu.com/p/853440395?see_lz=1,data/raw/ccbc-history/tieba/853440395/all/page-1.pb,data/processed/markdown/ccbc3/ccbc3_round32-02.md
ccbc3:round32-03,ccbc3,CCBC 3,2010,32强,puzzle,,round32-03,弈,,Cameroon,available,media_or_markup,answer_only,,True,False,False,1,0,0,https://tieba.baidu.com/p/853440395?see_lz=1,data/raw/ccbc-history/tieba/853440395/all/page-1.pb,data/processed/markdown/ccbc3/ccbc3_round32-03.md
